,gu,dong,total,,
1,송파구,가락제1동,22,,
2,송파구,가락제2동,859,,
3,송파구,가락본동,563,,
4,구로구,가리봉동,98,,
5,금천구,가산동,288,,
6,강서구,가양제1동,720,,
7,강서구,가양제2동,190,,
8,강서구,가양제3동,301,,
9,종로구,가회동,69,,
10,은평구,갈현제1동,421,,
11,은평구,갈현제2동,625,,
12,강동구,강일동,925,,
13,구로구,개봉제1동,817,,
14,구로구,개봉제2동,939,,
15,구로구,개봉3동,518,,
16,강남구,개포1동,285,,
17,강남구,개포2동,233,,
18,강남구,개포4동,387,,
19,송파구,거여1동,227,,
20,송파구,거여2동,378,,
21,강동구,고덕1동,1126,,
22,강동구,고덕2동,102,,
23,구로구,고척1동,564,,
24,구로구,고척2동,728,,
25,마포구,공덕동,816,,
26,노원구,공릉1동,840,,
27,노원구,공릉2동,1050,,
28,강서구,공항동,1040,,
29,광진구,광장동,1018,,
30,중구,광희동,57,,
31,종로구,교남동,291,,
32,구로구,구로1동,696,,
33,구로구,구로2동,415,,
34,구로구,구로3동,529,,
35,구로구,구로4동,380,,
36,구로구,구로5동,729,,
37,은평구,구산동,691,,
38,광진구,구의1동,364,,
39,광진구,구의2동,572,,
40,광진구,구의3동,683,,
41,광진구,군자동,346,,
42,성동구,금호1가동,387,,
43,성동구,금호2.3가동,672,,
44,성동구,금호4가동,462,,
45,강동구,길동,1055,,
46,성북구,길음1동,1427,,
47,성북구,길음2동,282,,
48,관악구,낙성대동,300,,
49,관악구,난곡동,559,,
50,관악구,난향동,514,,
51,서대문구,남가좌1동,799,,
52,서대문구,남가좌2동,506,,
53,용산구,남영동,79,,
54,관악구,남현동,411,,
55,서초구,내곡동,1022,,
56,동작구,노량진1동,739,,
57,동작구,노량진2동,126,,
58,은평구,녹번동,715,,
59,강남구,논현1동,280,,
60,강남구,논현2동,472,,
61,광진구,능동,223,,
62,중구,다산동,202,,
63,동대문구,답십리1동,689,,
64,동대문구,답십리2동,628,,
65,영등포구,당산1동,401,,
66,영등포구,당산2동,905,,
67,영등포구,대림1동,204,,
68,영등포구,대림2동,222,,
69,영등포구,대림3동,513,,
70,동작구,대방동,805,,
71,은평구,대조동,591,,
72,강남구,대치1동,509,,
73,강남구,대치2동,592,,
