"","gu","dong","total","perc_inv","result"
"1","강서구","방화1동",1810,33.7863436123348,61153.281938326
"2","강서구","발산1동",1431,33.7863436123348,48348.2577092511
"3","강서구","우장산동",1421,33.7863436123348,48010.3942731278
"4","강서구","염창동",1349,33.7863436123348,45577.7775330396
"5","중랑구","신내1동",1451,29.0675675675676,42177.0405405405
"6","서초구","양재1동",1710,21.9136029411765,37472.2610294118
"7","강서구","공항동",1040,33.7863436123348,35137.7973568282
"8","강북구","삼각산동",1189,29.1990521327014,34717.672985782
"9","강서구","화곡1동",1023,33.7863436123348,34563.4295154185
"10","강서구","화곡본동",945,33.7863436123348,31928.0947136564
"11","송파구","위례동",1506,21.0407643312102,31687.3910828025
"12","도봉구","창2동",749,41.4971098265896,31081.3352601156
"13","강남구","세곡동",1992,15.484237074401,30844.6002522068
"14","도봉구","방학3동",697,41.4971098265896,28923.485549133
"15","송파구","잠실2동",1326,21.0407643312102,27900.0535031847
"16","도봉구","창4동",655,41.4971098265896,27180.6069364162
"17","송파구","잠실4동",1284,21.0407643312102,27016.3414012739
"18","중랑구","묵1동",915,29.0675675675676,26596.8243243243
"19","도봉구","방학1동",627,41.4971098265896,26018.6878612717
"20","도봉구","창1동",616,41.4971098265896,25562.2196531792
"21","도봉구","창5동",612,41.4971098265896,25396.2312138728
"22","도봉구","도봉2동",593,41.4971098265896,24607.7861271676
"23","송파구","잠실3동",1163,21.0407643312102,24470.4089171975
"24","강서구","가양제1동",720,33.7863436123348,24326.1674008811
"25","동작구","상도1동",1156,19.6155555555556,22675.5822222222
"26","서초구","내곡동",1022,21.9136029411765,22395.7022058824
"27","은평구","진관동",1638,13.2664188351921,21730.3940520446
"28","서초구","서초4동",964,21.9136029411765,21124.7132352941
"29","송파구","장지동",978,21.0407643312102,20577.8675159236
"30","강서구","등촌3동",608,33.7863436123348,20542.0969162996
"31","강서구","화곡8동",608,33.7863436123348,20542.0969162996
