"","gu","dong","ee"
"1","송파구","오륜동",381
"2","송파구","잠실7동",192
"3","중구","필동",77
"4","중구","장충동",66
"5","종로구","삼청동",38
"6","송파구","가락제1동",0
"7","송파구","가락제2동",0
"8","송파구","가락본동",0
"9","구로구","가리봉동",0
"10","금천구","가산동",0
"11","강서구","가양제1동",0
"12","강서구","가양제2동",0
"13","강서구","가양제3동",0
"14","종로구","가회동",0
"15","은평구","갈현제1동",0
"16","은평구","갈현제2동",0
"17","강동구","강일동",0
"18","구로구","개봉제1동",0
"19","구로구","개봉제2동",0
"20","구로구","개봉3동",0
"21","강남구","개포1동",0
"22","강남구","개포2동",0
"23","강남구","개포4동",0
"24","송파구","거여1동",0
"25","송파구","거여2동",0
"26","강동구","고덕1동",0
"27","강동구","고덕2동",0
"28","구로구","고척1동",0
"29","구로구","고척2동",0
"30","마포구","공덕동",0
"31","노원구","공릉1동",0
"32","노원구","공릉2동",0
"33","강서구","공항동",0
"34","광진구","광장동",0
"35","중구","광희동",0
"36","종로구","교남동",0
"37","구로구","구로1동",0
"38","구로구","구로2동",0
"39","구로구","구로3동",0
"40","구로구","구로4동",0
"41","구로구","구로5동",0
"42","은평구","구산동",0
"43","광진구","구의1동",0
"44","광진구","구의2동",0
"45","광진구","구의3동",0
"46","광진구","군자동",0
"47","성동구","금호1가동",0
"48","성동구","금호2.3가동",0
"49","성동구","금호4가동",0
"50","강동구","길동",0
"51","성북구","길음1동",0
"52","성북구","길음2동",0
"53","관악구","낙성대동",0
"54","관악구","난곡동",0
"55","관악구","난향동",0
"56","서대문구","남가좌1동",0
"57","서대문구","남가좌2동",0
"58","용산구","남영동",0
"59","관악구","남현동",0
"60","서초구","내곡동",0
"61","동작구","노량진1동",0
"62","동작구","노량진2동",0
"63","은평구","녹번동",0
"64","강남구","논현1동",0
"65","강남구","논현2동",0
"66","광진구","능동",0
"67","중구","다산동",0
"68","동대문구","답십리1동",0
"69","동대문구","답십리2동",0
"70","영등포구","당산1동",0
"71","영등포구","당산2동",0
"72","영등포구","대림1동",0
"73","영등포구","대림2동",0
"74","영등포구","대림3동",0
"75","동작구","대방동",0
"76","은평구","대조동",0
"77","강남구","대치1동",0
"78","강남구","대치2동",0
"79","강남구","대치4동",0
"80","관악구","대학동",0
"81","마포구","대흥동",0
"82","강남구","도곡1동",0
"83","강남구","도곡2동",0
"84","영등포구","도림동",0
"85","도봉구","도봉1동",0
"86","도봉구","도봉2동",0
"87","마포구","도화동",0
"88","금천구","독산1동",0
"89","금천구","독산2동",0
"90","금천구","독산3동",0
"91","금천구","독산4동",0
"92","성북구","돈암1동",0
"93","성북구","돈암2동",0
"94","성북구","동선동",0
"95","중구","동화동",0
"96","강동구","둔촌1동",0
"97","강동구","둔촌2동",0
"98","강서구","등촌1동",0
"99","강서구","등촌2동",0
"100","강서구","등촌3동",0
"101","성동구","마장동",0
"102","송파구","마천1동",0
"103","송파구","마천2동",0
"104","중랑구","망우3동",0
"105","중랑구","망우본동",0
"106","마포구","망원1동",0
"107","마포구","망원2동",0
"108","중랑구","면목2동",0
"109","중랑구","면목3.8동",0
"110","중랑구","면목4동",0
"111","중랑구","면목5동",0
"112","중랑구","면목7동",0
"113","중랑구","면목본동",0
"114","중구","명동",0
"115","강동구","명일1동",0
"116","강동구","명일2동",0
