"","gu","dong","total","perc_inv","result"
"1","강서구","방화1동",3039,33.7863436123348,102676.698237885
"2","강서구","화곡1동",2477,33.7863436123348,83688.7731277533
"3","강서구","우장산동",2467,33.7863436123348,83350.90969163
"4","강서구","염창동",2430,33.7863436123348,82100.8149779736
"5","강서구","발산1동",2289,33.7863436123348,77336.9405286344
"6","강서구","공항동",2060,33.7863436123348,69599.8678414097
"7","중랑구","신내1동",2281,29.0675675675676,66303.1216216216
"8","송파구","위례동",3016,21.0407643312102,63458.9452229299
"9","서초구","양재1동",2805,21.9136029411765,61467.65625
"10","강서구","화곡본동",1799,33.7863436123348,60781.6321585903
"11","도봉구","창2동",1418,41.4971098265896,58842.9017341041
"12","강북구","삼각산동",1919,29.1990521327014,56032.981042654
"13","도봉구","방학3동",1215,41.4971098265896,50418.9884393064
"14","도봉구","도봉2동",1182,41.4971098265896,49049.5838150289
"15","도봉구","창4동",1176,41.4971098265896,48800.6011560694
"16","중랑구","묵1동",1667,29.0675675675676,48455.6351351351
"17","도봉구","창5동",1147,41.4971098265896,47597.1849710983
"18","강남구","세곡동",3057,15.484237074401,47335.3127364439
"19","송파구","잠실4동",2222,21.0407643312102,46752.578343949
"20","강서구","가양1동",1360,33.7863436123348,45949.4273127753
"21","도봉구","창1동",1099,41.4971098265896,45605.323699422
"22","송파구","잠실2동",2139,21.0407643312102,45006.1949044586
"23","도봉구","방학1동",1049,41.4971098265896,43530.4682080925
"24","동작구","상도1동",2141,19.6155555555556,41996.9044444444
"25","송파구","잠실3동",1991,21.0407643312102,41892.1617834395
"26","송파구","오금동",1980,21.0407643312102,41660.7133757962
"27","강서구","등촌3동",1214,33.7863436123348,41016.6211453745
"28","송파구","장지동",1933,21.0407643312102,40671.7974522293
"29","강서구","화곡8동",1177,33.7863436123348,39766.5264317181
"30","중랑구","면목본동",1283,29.0675675675676,37293.6891891892
"31","강서구","등촌1동",1086,33.7863436123348,36691.9691629956
"32","서초구","내곡동",1628,21.9136029411765,35675.3455882353
"33","강서구","방화3동",1055,33.7863436123348,35644.5925110132
