"","gu","dong","ee"
"1","구로구","신도림동",2339
"2","노원구","상계8동",2079
"3","강동구","길동",1996
"4","송파구","잠실3동",1991
"5","송파구","오금동",1980
"6","영등포구","당산2동",1789
"7","영등포구","여의동",1763
"8","중랑구","묵1동",1667
"9","노원구","상계1동",1630
"10","용산구","이촌1동",1629
"11","광진구","자양3동",1579
"12","광진구","광장동",1574
"13","서초구","서초4동",1551
"14","양천구","목5동",1518
"15","양천구","목1동",1463
"16","동작구","노량진1동",1409
"17","중랑구","면목본동",1283
"18","광진구","자양2동",1233
"19","도봉구","도봉2동",1182
"20","도봉구","창4동",1176
"21","노원구","상계9동",1019
"22","송파구","가락1동",0
"23","송파구","가락2동",0
"24","송파구","가락본동",0
"25","구로구","가리봉동",0
"26","금천구","가산동",0
"27","강서구","가양1동",0
"28","강서구","가양2동",0
"29","강서구","가양3동",0
"30","종로구","가회동",0
"31","은평구","갈현1동",0
"32","은평구","갈현2동",0
"33","강동구","강일동",0
"34","구로구","개봉1동",0
"35","구로구","개봉2동",0
"36","구로구","개봉3동",0
"37","강남구","개포1동",0
"38","강남구","개포2동",0
"39","강남구","개포4동",0
"40","송파구","거여1동",0
"41","송파구","거여2동",0
"42","강동구","고덕1동",0
"43","강동구","고덕2동",0
"44","구로구","고척1동",0
"45","구로구","고척2동",0
"46","마포구","공덕동",0
"47","노원구","공릉1동",0
"48","노원구","공릉2동",0
"49","강서구","공항동",0
"50","중구","광희동",0
"51","종로구","교남동",0
"52","구로구","구로1동",0
"53","구로구","구로2동",0
"54","구로구","구로3동",0
"55","구로구","구로4동",0
"56","구로구","구로5동",0
"57","은평구","구산동",0
"58","광진구","구의1동",0
"59","광진구","구의2동",0
"60","광진구","구의3동",0
"61","광진구","군자동",0
"62","성동구","금호1가동",0
"63","성동구","금호2.3가동",0
"64","성동구","금호4가동",0
"65","성북구","길음1동",0
"66","성북구","길음2동",0
"67","관악구","낙성대동",0
"68","관악구","난곡동",0
"69","관악구","난향동",0
"70","서대문구","남가좌1동",0
"71","서대문구","남가좌2동",0
"72","용산구","남영동",0
"73","관악구","남현동",0
"74","서초구","내곡동",0
"75","동작구","노량진2동",0
"76","은평구","녹번동",0
"77","강남구","논현1동",0
"78","강남구","논현2동",0
"79","광진구","능동",0
"80","중구","다산동",0
"81","동대문구","답십리1동",0
"82","동대문구","답십리2동",0
